industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
        Manufacturing,235.1,249.4,264.9,274.7,278,279.1,284.3,295.5,308.7,326.2,347.5,353.5,356.8,369.3,383.4,395.6,411.6,425.3,433.4,453.1,475.9,494.8,516.9,543.2,585.4,619.1
            Durable goods,145.8,155.8,166.9,174.3,176.1,175.3,177.2,183.4,191.1,201.3,213.8,215.8,215.8,222.9,231.2,237.6,246,252.6,255.1,265.4,277.9,287,297.5,310.7,333.3,352.1
                Wood products,2.8,2.9,2.9,3,2.9,2.9,3,3.1,3.4,3.6,3.6,3.5,3.3,3.3,3.2,3.3,3.5,3.7,3.9,4,4.3,4.5,4.6,4.9,5.6,6.1
                Nonmetallic mineral products,5.7,5.9,6.2,6.4,6.5,6.6,6.8,7.1,7.5,8.1,8.6,8.6,8.4,8.5,8.7,8.7,9,9.2,9.5,10,10.5,10.8,11.1,11.8,12.9,13.6
                Primary metals,9.1,9.1,9.2,9.1,8.9,8.7,8.7,8.9,9.1,9.5,10.1,10.5,10.7,11.1,11.5,11.8,12,12,12,12.3,13,13.7,14.2,14.8,16.2,17
                Fabricated metal products,9.7,10.1,10.5,10.7,10.7,10.7,10.8,11.2,11.7,12.3,13.1,13.3,13.3,13.8,14.6,15.2,15.8,16,16.2,16.7,17.4,18.1,18.7,19.9,21.9,23
                Machinery,15.6,16.7,17.6,17.8,17.3,16.6,16.3,16.5,16.8,17.4,18.3,18.7,19,20.1,21.3,22.1,23,23.3,23.2,23.9,24.9,25.8,26.8,28.1,30.3,32.1
                Computer and electronic products,48.6,54,60.8,67.3,69.5,68.7,68.9,71,74.3,78.9,85.7,87.7,88.2,92,95.5,97,99.4,101.3,101.4,105,108.8,111,115.8,121.2,128.4,135
"                Electrical equipment, appliances, and components",5.9,6,6.2,6.3,6.3,6.3,6.3,6.4,6.5,6.8,7.1,7.1,7.1,7.2,7.4,7.6,7.8,8,8,8.2,8.6,9.1,9.5,10,10.8,11.5
"                Motor vehicles, bodies and trailers, and parts",26.2,27.7,29.1,29.5,29.6,30.2,31.1,32.1,32.9,33.5,33.6,31.9,30.9,31.3,32.7,34.7,37.4,39.7,40.9,43.3,46.5,48.9,50.3,52.2,56.5,60.5
                Other transportation equipment,14.4,15.1,15.4,15.1,14.9,15.1,15.5,16.5,17.8,19.5,21.3,22,22.4,22.5,22.6,22.7,23.3,23.7,24,25.1,26.1,26.3,26.5,26.7,27.9,29.2
                Furniture and related products,1.4,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.3,2.2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.6,2.8,3,3.2,3.4,3.5
                Miscellaneous manufacturing,6.4,6.7,7.1,7.4,7.5,7.7,8,8.5,9,9.5,10,10.2,10.5,11.1,11.7,12.3,12.8,13.4,13.8,14.4,15.1,16.1,17,18,19.4,20.6
            Nondurable goods,89.3,93.5,97.9,100.3,101.8,103.8,107.1,112.1,117.6,124.9,133.7,137.7,140.9,146.5,152.2,158,165.6,172.7,178.3,187.7,198,207.8,219.4,232.6,252.1,267
                Food and beverage and tobacco products,15.4,15.9,16.5,16.8,17.1,17.3,17.8,18.7,19.6,20.5,21.7,22.3,22.5,23.2,24.1,24.9,25.9,27,28.1,29.5,31.3,33.3,34.5,36.3,40.1,42.6
                Textile mills and textile product mills,3.8,3.9,3.8,3.8,3.6,3.5,3.4,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.1,3,3,3,3,3,3,3.1,3.1,3.2,3.6,3.8
                Apparel and leather and allied products,1.4,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
                Paper products,10.2,10.3,10.2,10.2,10,9.8,9.7,9.8,10,10.3,10.4,10.2,9.9,10.1,10.3,10.5,10.8,11.1,11.2,11.5,11.6,11.9,12.4,13,13.9,14.6
                Printing and related support activities,4,4.2,4.5,4.6,4.6,4.6,4.7,5,5.3,5.5,5.8,5.7,5.4,5.3,5.3,5.2,5.1,5.1,5,5.1,5.1,5.2,5.1,5.1,5.3,5.4
                Petroleum and coal products,10.3,10.4,10.6,10.7,10.8,11.1,11.5,12.3,13.2,14.3,15.8,17,17.8,18.5,19.1,20.5,21.8,22,22.2,23,24.3,25.5,26.3,27,28.6,29.7
                Chemical products,36.6,39.3,42.2,44,45.4,47.2,49.4,52.3,55.2,59.6,65,67.7,70.8,74.8,78.7,81.9,86.5,91.9,95.7,102.1,108.4,114.1,122.7,131.8,143.2,153
                Plastics and rubber products,7.6,8.1,8.5,8.8,8.9,8.9,9.1,9.3,9.6,9.9,10.2,10.1,9.9,10.1,10.3,10.5,10.9,11.3,11.6,12.2,12.7,13.2,13.7,14.6,15.7,16.2
        Wholesale trade,38.7,40.9,43.3,44.2,43.9,44.1,46,50,53.7,55.1,56.1,55.5,54.3,56.5,59.6,61.6,64.2,67.2,69.4,72.8,76.6,80.1,81.8,84.9,94.2,101.7
        Retail trade,32.6,35.4,39.3,43.1,46.3,49.8,54.8,60.7,65.8,70.1,73,72.9,71.4,74.3,78.2,81.2,84.6,88.1,91.2,95.9,101.6,107.6,114.2,126.3,148.7,161.5
        Transportation and warehousing,48.8,51.3,54.1,55.9,55.5,53.9,54.5,57.3,61.1,64.2,66.6,66.8,65.9,67.6,70.3,73,77.9,84,88.3,92.4,99.6,105.6,107.6,110.5,121.1,127.7
            Air transportation,12.8,13.8,15,16.2,16.1,14.9,14.4,14.2,14,14.1,14.6,14.8,14.5,14.7,15,15.5,16.2,16.9,17.5,18.4,19.3,19.8,19.7,19.6,20.8,22.4
            Rail transportation,8.3,8.5,8.6,8.7,8.7,8.8,9,9.2,9.5,9.8,10.3,10.5,10.6,11,11.3,11.7,12.1,12.8,13.4,13.6,13.7,13.9,14,14.3,15,15.7
            Water transportation,3.2,3.2,3.2,3.1,2.9,2.8,2.7,2.7,2.8,2.9,2.9,3,3.1,3.1,3.2,3.4,3.8,4.4,5,5.4,5.7,5.9,5.7,5.8,6.4,6.9
            Truck transportation,9.9,10.4,10.8,10.9,10.9,11,11.7,13.5,15.9,17.1,17.1,16.6,16,16.5,17.7,18.5,19.8,21.5,22.5,23.2,25.9,27.6,27.9,28.3,31.2,33
            Transit and ground passenger transportation,1.9,2.2,2.5,2.7,2.7,2.6,2.6,2.7,2.8,3,3.1,3.1,3.1,3.1,3.2,3.4,3.6,3.8,4.1,4.6,5.6,6.2,6.5,6.6,6.9,6.9
            Pipeline transportation,3.2,3.3,3.5,3.7,3.8,3.7,4,4.5,5,5.6,6.8,7.2,7.4,7.7,8.1,8.7,10.1,11.1,11.6,12.4,12.9,13.5,13.8,14.2,15.7,15.8
            Other transportation and support activities,8.2,8.6,9.1,9.4,9.1,8.7,8.6,8.8,9.4,9.8,9.8,9.4,9,9.2,9.5,9.5,9.6,10.5,11,11.4,12.6,14.3,15.3,16.4,18.7,20.2
            Warehousing and storage,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.2,2.2,2.3,2.4,2.7,3,3.1,3.4,3.9,4.3,4.8,5.4,6.3,6.9
        Information,100.4,110.4,126.4,138.9,143.7,143.8,147.2,152.9,161.1,170.3,176.4,178.7,184.6,196.9,206.2,216.6,230.7,244.2,257.5,280.6,307.4,327,344.8,373.3,423.6,475.5
"            Publishing industries, except internet (includes software)",13.2,15.2,17.8,19.9,22.4,26.2,29.7,32.1,34.6,37.8,41.3,43.6,46.3,50.1,53.1,55.4,59.7,62.8,62.9,65.4,68.6,70.3,71.7,74.2,83.5,95.7
            Motion picture and sound recording industries,19.6,21.1,22.7,23.9,24.5,25.6,26.7,28.1,29.5,30.5,30.8,30.5,30.5,30.5,30.4,30.4,31,31.8,33,34.2,35.4,36.6,38.2,40.2,43.4,46.5
            Broadcasting and telecommunications,64.3,69,78.4,85.5,85.2,78.8,76.5,77.6,81,84.6,86.4,87,88,92.4,95.5,98.6,101.1,104.4,108.4,115.8,123.6,129.7,134.3,140.5,152,162.2
"            Data processing, internet publishing, and other information services",3.3,5,7.5,9.7,11.6,13.2,14.3,15.1,16,17.4,17.9,17.7,19.8,23.8,27.3,32.2,38.9,45.3,53.2,65.2,79.7,90.4,100.6,118.4,144.7,171.1
"        Finance, insurance, real estate, rental, and leasing",314,343.6,378.3,406.7,426.2,453.8,495.2,546.9,594.3,620.7,623.1,603.4,592.6,595.9,607.8,643.4,684.5,716.6,757.4,803.5,859.2,905.5,951.4,1049.9,1187.4,1236.2
            Finance and insurance,70,78.9,88.8,94.5,98.2,101.9,108.2,115.6,122.2,129,133.8,133,130.6,133.6,138.3,145.6,153.3,162.6,174.3,185.5,197.3,214.4,229.8,246.5,271.4,290
"                Federal Reserve banks, credit intermediation, and related activities",48.2,53.8,59.3,61.8,63.6,65.6,69.4,74.8,80,84.4,86.4,83.5,80.6,82.6,85.8,90.5,95.7,102.8,111.2,118.2,125.6,137,144.4,149.9,160.7,167.4
"                Securities, commodity contracts, and investments",7,8.2,9.9,10.8,11,11,11.3,11.8,12.5,14.2,15.6,16.9,18,18.6,18.6,18.6,19.2,20.1,21.4,23.5,25.9,28.3,31.8,36.7,44.3,51.9
                Insurance carriers and related activities,14.3,16.4,19.1,21.2,22.9,24.7,26.8,28.2,28.7,29.3,30.6,31.3,30.8,31,32.4,34.8,36.7,38.2,40.1,42,44.1,47.4,51.9,57.6,62.9,66.3
"                Funds, trusts, and other financial vehicles",0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.5,1.5,1.6,1.7,1.7,1.7,1.7,2.3,3.6,4.5
            Real estate and rental and leasing,244,264.7,289.5,312.2,328.1,351.9,386.9,431.3,472.1,491.7,489.3,470.3,462,462.4,469.5,497.7,531.3,554.1,583.1,618,661.9,691.1,721.6,803.3,916,946.2
                Real estate,217.5,234.1,253.3,273.6,289.9,314.3,348.3,390,426.3,442,438.6,421.6,414.7,413,416.4,440.6,470.4,488.6,513.4,545.5,586,610.9,641.6,724.7,834.6,863.7
                Rental and leasing services and lessors of intangible assets,26.6,30.7,36.2,38.7,38.2,37.6,38.7,41.3,45.7,49.8,50.8,48.7,47.3,49.4,53.1,57.2,60.9,65.5,69.7,72.5,75.9,80.2,80,78.6,81.4,82.5
        Professional and business services,64.2,74.2,86.7,94.6,100.7,107.6,115.5,124.4,133.2,141.7,151,157.8,163.3,170.8,178.9,186.5,191.8,195.2,198.4,205.7,215.9,229.8,245.1,263.9,291.1,314.5
"            Professional, scientific, and technical services",37.5,44.3,53.1,58.6,62.4,66.8,71.8,78,84.3,90.1,96,99.3,102.5,106,109.3,112.7,114.8,116.3,117.8,122.5,130.1,140.2,152.3,167.4,185.2,199.5
                Legal services,1.9,2.2,2.7,3,3.3,3.7,4.1,4.5,4.7,4.8,5.2,5.5,5.5,5.4,5.5,5.7,5.8,5.7,5.6,5.7,5.9,5.9,6,6,6,5.9
                Computer systems design and related services,7.6,9.9,12.7,14.2,15.3,16.5,18.3,20.1,22,23.8,25,26,27,27.3,27.3,27.1,27.3,27.9,29.1,30.4,32.7,36.5,40.7,45.6,50.6,53.9
"                Miscellaneous professional, scientific, and technical services",28,32.2,37.7,41.4,43.8,46.6,49.5,53.4,57.6,61.4,65.8,67.8,70,73.3,76.6,79.8,81.8,82.8,83.1,86.3,91.5,97.8,105.6,115.7,128.6,139.6
            Management of companies and enterprises,15.2,16.4,17.6,18.1,19,20.2,21.1,21.9,22.4,23.5,26.1,28.7,29.9,31.8,34.4,36.1,36.5,36.2,35.9,36.5,37.2,38.1,38.6,39.5,43.2,46.2
            Administrative and waste management services,11.5,13.5,15.9,17.8,19.3,20.6,22.5,24.5,26.5,28.1,29,29.8,30.9,33,35.2,37.7,40.4,42.6,44.8,46.8,48.6,51.5,54.3,57,62.7,68.9
                Administrative and support services,8,10,12.4,14.2,15.6,16.9,18.6,20.3,21.8,23,23.6,24.5,25.7,27.4,29.4,31.8,34.2,36.2,38.2,39.9,41.2,43.5,46.1,48.3,52.6,57.9
                Waste management and remediation services,3.5,3.5,3.6,3.6,3.6,3.7,3.9,4.3,4.7,5.2,5.3,5.3,5.3,5.6,5.9,6,6.2,6.4,6.6,6.9,7.4,7.9,8.1,8.7,10.1,11
"        Educational services, health care, and social assistance",47.4,50.4,53.6,56.8,60.7,65.2,69.7,75.7,81.4,88.3,95.2,99.9,103,108.4,113.9,118.8,123.4,128.1,132.7,138,144.5,151.8,158.9,168,183.5,196.6
            Educational services,7.3,8.1,9.1,10.1,11.3,12.4,13.6,14.9,16,17.6,19.1,20.6,21.7,23.1,24.5,25.4,26,26.6,27.1,27.5,28.2,29.1,29.9,31.5,35.1,37.4
            Health care and social assistance,40.1,42.3,44.5,46.6,49.4,52.8,56,60.7,65.4,70.8,76.2,79.3,81.3,85.3,89.5,93.5,97.4,101.5,105.6,110.5,116.3,122.7,128.9,136.5,148.4,159.2
                Ambulatory health care services,17.9,18.4,18.8,19,19.9,21,21.8,23.3,24.5,26.1,27.8,28.3,29,30.3,31.2,32.1,33,34,34.9,36.2,37.8,39.4,41.2,44.2,48.4,52.4
                Hospitals and nursing and residential care facilities,21.1,22.6,24.3,26,27.8,29.9,32.2,35.2,38.3,41.7,45.3,47.7,49.1,51.7,54.8,57.8,60.7,63.6,66.7,70.3,74.4,78.7,82.9,87.1,94.1,100.6
                Social assistance,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.6,2.9,3.1,3.2,3.2,3.4,3.5,3.6,3.8,3.9,4,4,4.2,4.6,4.9,5.2,5.8,6.1
"        Arts, entertainment, recreation, accommodation, and food services",29.8,31.8,33.9,35.7,36.9,38.3,40.4,43,45.9,48.9,51.8,52.6,51.7,52.1,53.2,55.1,58,60.5,63,66.6,71,75.2,77.5,81.2,91.3,97.4
"            Arts, entertainment, and recreation",11,12.2,13.5,14.7,15.5,16.4,17.3,18.4,19.4,20.5,21.4,21.8,21.8,22.1,22.5,23.2,24.4,25.6,27,28.7,30.6,32.4,33.4,34.8,38.9,42.3
"                Performing arts, spectator sports, museums, and related activities",7.4,8.2,8.8,9.3,9.6,10.2,10.7,11.2,11.7,12.3,12.8,13,13,13.2,13.5,13.8,14.4,15,15.7,16.4,17,17.7,18.2,18.9,20.9,23
"                Amusements, gambling, and recreation industries",3.6,4.1,4.7,5.4,5.9,6.2,6.6,7.1,7.7,8.2,8.6,8.8,8.8,8.9,9,9.4,10,10.5,11.3,12.3,13.6,14.7,15.2,15.9,18,19.4
            Accommodation and food services,18.7,19.6,20.4,21,21.4,22,23.1,24.7,26.5,28.4,30.3,30.7,29.8,30,30.6,31.9,33.6,34.9,36,37.9,40.5,42.8,44.2,46.3,52.4,55
                Accommodation,6.9,7.4,7.9,8.3,8.7,9.3,10.1,11.1,12.4,13.7,15,15.3,14.7,14.6,14.7,15.1,15.7,16.3,17,17.7,18.9,20.1,20.8,21.4,23.4,24.2
                Food services and drinking places,11.8,12.2,12.5,12.7,12.6,12.7,13,13.6,14.1,14.7,15.3,15.5,15.1,15.3,15.9,16.8,17.9,18.6,19,20.1,21.6,22.7,23.4,25,29,30.8
"        Other services, except government",13.6,14.7,16.1,17.5,18.6,19.7,21.1,22.7,24.5,26.5,28.2,28.5,28.3,29.2,30.2,31.1,32.7,34.7,36.8,38.6,40.4,42.5,44.7,48,53.1,56
    Government,257.6,266.7,279.7,287.8,296.2,307.1,324.7,348.4,372.3,400.3,427,442.8,457.2,477.2,493.6,505,518.3,525.1,532.5,549.9,575.3,597.8,619.2,662,733.6,776.8
            Federal,155.4,158.2,163.1,164.4,166.8,172.2,180.5,190.5,201.3,212.8,225.9,233.6,243.7,254.9,261.6,266.1,271.3,272.4,273.7,280.2,290.2,298.9,310.5,328.7,357.9,378.2
                Federal general government,150.9,153.3,157.9,159.1,161.5,167,175.1,184.9,195.4,206.7,219.5,227.2,237.2,248.1,254.6,258.8,263.7,264.7,265.7,271.8,281.3,289.3,300.2,317.7,345.7,365
                Federal government enterprises,4.5,4.9,5.3,5.4,5.3,5.3,5.4,5.7,5.9,6.1,6.4,6.5,6.5,6.8,7,7.3,7.5,7.8,8,8.3,8.9,9.6,10.3,11,12.2,13.2
            State and local,102.2,108.6,116.6,123.4,129.3,134.9,144.2,157.9,171,187.5,201.2,209.1,213.4,222.2,232,238.9,247.1,252.6,258.8,269.7,285.2,299,308.7,333.3,375.7,398.6
                State and local general government,79.9,85.1,91.5,96.9,101.4,105.2,111.8,122.1,132.2,145.4,156.2,162.6,165,171.2,178.4,183.3,189.4,193.3,197.8,206,217.8,228.4,236,253.8,285.6,303.3
                State and local government enterprises,22.3,23.5,25.1,26.4,27.9,29.7,32.5,35.7,38.8,42.1,44.9,46.5,48.4,51,53.6,55.6,57.7,59.4,61.1,63.8,67.3,70.5,72.7,79.5,90.1,95.4
    Private goods-producing industries1,321.2,338,357,373.9,383.9,389.8,404.6,437.9,476.1,507.7,545.7,545.3,548.1,571.9,606.2,629.2,670.6,693.2,691.7,710.7,723.4,750.4,767.1,782.2,848.2,898.3
    Private services-producing industries2,731,794.2,874.5,937.8,978,1022.1,1092.5,1184.8,1275.8,1344.7,1386.2,1383.2,1385.1,1425.3,1475.7,1547.3,1630.7,1704.7,1783.9,1888.3,2013.9,2129.3,2237.2,2427.2,2731.5,2912.6
