Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
21,"      Motor vehicles, bodies and trailers, and parts",4.6,5.3,6.2,8.1,8,8.6,10.3,9.1,12.7,10.4,11.3,8.7,11.7,12.5,11.6,14.5,16.4,17.2,20.3,20.4,19.1,23.4,23.8,19.5,25.2,26.5,29.3,23.9,25.6,34.8,42.8,46.4,44.9,33.9,43,40.7,52.6,67.4,70.5,72.5,71.3,76.4,75.5,64.3,64.3,76.5,89.5,103.8,104.2,107.9,112
22,      Other transportation equipment,1.7,2.2,2.2,2.4,3.9,5.9,7.1,6.9,6.9,7.6,8.8,8.7,8.8,8.3,8.9,10,10.9,11.2,11.9,14.6,16,17.1,16.4,15.3,14.4,15.1,16,17.6,18.7,19.7,21.5,24.4,28.4,31.4,31.1,44.7,48.6,56.2,56.1,61.8,67.3,66.6,67.6,70.5,77.5,67,64.2,53.2,52,60.8,62.5
23,      Furniture and related products,1.2,1.4,1.4,1.7,1.8,1.9,1.9,1.9,2.1,2.2,2.3,2.1,2.4,2.4,2.4,2.6,2.8,3,3.4,3.8,3.8,4.2,4.6,4.4,4.6,5.5,6,6.1,5.9,6.9,7.9,9.1,9.3,10.4,11,11,12.8,14.9,15.8,16.8,17.8,18.6,19.6,19,18.3,20,21.7,22.5,23.2,25.4,27.9
24,      Miscellaneous manufacturing,1.6,1.8,1.7,1.9,2.2,2.3,2.5,2.4,2.6,2.8,2.9,2.9,3.2,3.2,3.2,3.6,3.6,3.8,4.2,4.7,5,5.5,6,5.8,6.2,7,7.6,7.9,8.9,9.8,11.2,12.3,13.5,14.4,17.5,18.1,18.7,21.1,22.9,23.3,24.5,31.5,33,37,38.3,40.6,41.4,41.9,43.4,49.9,52.3
25,    Nondurable goods,30.8,34.2,32.9,35.8,41.4,42,44.2,43.5,47.8,50,50.7,51.4,55.5,56.5,57.9,61.3,64.1,68.2,73.5,80.6,82.8,90.3,94.5,98.1,103.6,111.4,119.2,128,141.2,159.2,176.4,189.5,216.5,226.7,252.3,257.7,283.7,294.4,308.4,323.7,346.3,379.9,408.1,431.7,445.5,466.8,479.7,502.1,531.6,533.4,559.1
26,      Food and beverage and tobacco products,11.1,12.1,12.3,12.7,13.5,14.8,15.5,15.4,16.5,16.6,17.1,18.1,19.1,19.5,20.1,20.9,21.8,22.8,23.7,25.5,26.1,27.4,28.3,30.6,32.3,32.2,32,35.4,44.1,46,49.2,51.2,54.1,61.1,66.6,72.3,79.1,79.8,83.7,88.2,90.9,94.8,100.6,111.4,118.5,123.6,122.7,123.5,136.5,130.9,135.2
27,      Textile mills and textile product mills,4.4,5,4.1,4.5,5.1,4.6,4.5,4,4.4,4.4,4.3,4.2,4.7,4.8,4.7,5.1,5.2,5.8,6.5,7.1,7.1,7.9,8.4,8.6,8.8,9.7,10.3,10.8,10.4,12,13.4,14.4,15.2,15.1,16.2,15.4,17.7,18.3,18.2,19.9,21.1,22,23,23.4,23.9,26.7,27,27.1,26.2,26.6,27.4
28,      Apparel and leather and allied products,4.1,4.6,4.3,4.4,5,5,5.2,4.9,5.2,5.5,5.4,5.4,5.9,6,6,6.5,6.7,7.1,7.7,8.5,8.8,9.6,10,10.1,10.3,11.2,11.9,12,12.5,14.3,16,17.5,18.7,19.4,21.1,20.8,22.3,22.2,21.9,22.6,22.8,23.7,24.8,25.2,26,27.6,27.6,28,26.8,25.9,25.2
29,      Paper products,2.6,2.7,2.5,3.1,4,3.7,4,4.1,4.6,5.1,5,4.9,5.5,5.6,5.9,6.2,6.4,6.9,7.4,8.3,8.4,9.1,9.9,10,10.2,11.5,13.1,14.4,14.3,17.2,18.6,20.3,22.9,24,26.2,27.6,29.2,32.8,34.1,36.2,39.3,45.5,48.1,47.3,46.8,47.7,48.8,52,62.4,58.4,55.4
30,      Printing and related support activities,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.6,2.6,2.9,3,3.1,3.3,3.4,3.7,4,4.4,4.6,5,5.4,5.6,5.9,6.4,7,7.2,8,8.8,10.4,11.8,13.7,13.9,15.5,16.9,18.8,21.3,23.3,24.9,26.4,28.5,30.4,31.7,31.7,33.9,33.8,35.1,35.7,37.3,37.4
31,      Petroleum and coal products,1.7,2.1,1.8,2.1,2.6,2.5,2.8,2.8,2.9,3.3,2.9,2.9,2,2.2,2,1.8,2.1,2.2,2.8,3.2,3.5,3.6,3.3,3.7,4.1,5,5.8,5.9,6.2,8.2,9.2,9.8,20.7,19.4,20.7,18,19.6,17,20.2,20.7,21.4,29.6,31.5,35,33.8,33.3,38.5,36.6,33.9,36.3,47.5
32,      Chemical products,3.7,4.4,4.6,5.5,6.7,6.7,7.3,7.6,8.8,9.2,9.8,9.9,11.4,11.4,12,12.7,13.6,14.4,15.8,17.2,17.5,19.8,20.6,21.3,22.7,24.8,27.2,30.2,33.6,39.1,43.1,46.5,51.3,54.1,63.4,63.9,71.1,74.6,76.7,79.6,91.6,100.9,110.7,118.8,123.9,130.7,134.4,149.2,158.7,163.5,173.4
33,      Plastics and rubber products,1.8,1.8,1.7,1.9,2.6,2.7,2.9,2.6,3,3.4,3.5,3.5,3.9,4,4.1,4.7,4.8,5.2,5.7,6.5,6.7,7.9,8.6,8.2,9.2,10.6,12,12.1,12.1,13.6,16.6,18,19.8,19.7,22.6,22.8,25.9,28.4,30.1,31.5,32.9,34.9,39,38.8,41,43.5,47.1,50.6,51.4,54.6,57.6
34,  Wholesale trade,15.6,17.1,16.6,18.7,21.3,21.5,22,22.2,25.1,27,28.5,29.1,33.4,34.8,35.8,38.3,39.8,43,46.4,50.9,53.9,59.1,63.8,67.7,73.4,81.6,91.8,104.3,114,122.3,134.4,152.6,175,187,206.9,207.6,223.5,251,271,280.2,286.2,314.9,336.4,347.8,362.5,380.4,403.5,444.6,462.2,495.1,527.5
35,  Retail trade,23.2,24.5,24.9,26,28.4,29.9,30.8,31.4,33.4,34.5,36.5,37.2,40.6,41.5,42.5,45.7,47.6,52.4,56.1,60.5,64.8,71.6,77.6,83,90.8,98.4,108.4,114,127.8,144.6,159.4,178.2,193.9,199.2,218.9,227.9,256.4,287.8,310.8,332,346.1,367.2,391.2,399.9,407.2,426.2,461.9,498.8,522.3,550.2,579.9
36,    Motor vehicle and parts dealers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,    Food and beverage stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,    General merchandise stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,    Other retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,  Transportation and warehousing,14.1,15.5,15.1,16.7,19,19.7,20.6,19.2,20.9,22,22.8,21.7,22.9,23.2,23.4,24.9,25.9,27.4,29.7,32.4,33.1,35.8,38.1,40.2,44.2,48.7,53.7,59,59.9,69.4,77,87.5,97.5,102.6,110.2,106.3,117.9,131.2,137.4,147.2,153.1,162.8,168.6,174.9,183.9,194.7,207.4,223.8,229.3,237.5,257.3
41,    Air transportation,,,,,,,,,,,,,,,,,1.8,2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.6,6.2,6.7,7.1,8.4,9.6,10.8,11.6,12.9,13.4,13.5,16.4,18.8,19.3,20.9,24.3,30.6,31,31.9,33,35.9,40.4,45.2,47.2,47.3,54.7
42,    Rail transportation,,,,,,,,,,,,,,,,,8,8.2,8.6,9.2,8.7,8.9,9.3,9.6,10.4,10.7,11.7,12.8,12.2,14.5,15.4,16.9,18.8,20.3,21.7,18.3,19.7,21.3,21,22.4,20.9,21.1,18.6,18.6,20.2,20.1,20.3,21.3,21.2,21,20
43,    Water transportation,,,,,,,,,,,,,,,,,0.9,1,1,1.2,1.2,1.4,1.3,1.4,1.3,1.4,1.5,1.8,1.9,2.2,2.4,2.8,3.2,3.5,3.9,3.5,3.7,3.9,4.1,4.1,4.2,4.5,4.7,5.1,5.8,5.8,5.9,6.2,6.1,6.3,6.6
44,    Truck transportation,,,,,,,,,,,,,,,,,6.3,6.8,7.5,8.2,8.3,9.3,10.1,10.7,12.2,14,15.8,17.1,17.2,19.7,21.9,25.1,27.9,28.5,30,29.4,32.5,36.7,39.5,43.3,44.7,45.4,49.1,50.6,52.2,55.9,59.6,65.9,67.4,70.7,77.1
45,    Transit and ground passenger transportation,,,,,,,,,,,,,,,,,2.1,2.2,2.3,2.5,2.7,2.9,2.9,3.1,3.2,3.4,3.3,3.5,3.8,4.1,4.5,4.7,5,5.8,5.9,6,6.3,7,7.3,7.7,7.5,8,8.3,9,9.6,9.9,10.6,11.3,12,13.1,15.1
46,    Pipeline transportation,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.6,1.7,2.1,2.4,2.9,3.7,4.7,5.1,6.1,7.1,7.7,7.6,7.3,6,6.3,5.7,6,6,6.1,6.4,6.6,6.7,6.5,6.8,7
47,    Other transportation and support activities,,,,,,,,,,,,,,,,,4.5,4.9,5.3,5.8,6,6.6,7,7.4,8.1,9.2,10.3,11.8,11.9,13.8,15.5,17.8,19.8,20.2,22.3,21.6,23.9,27.1,29.4,32.3,34.1,35.7,38.3,40.5,43.5,45.9,48.1,50.2,50.7,53.3,55.9
48,    Warehousing and storage,,,,,,,,,,,,,,,,,1.5,1.6,1.8,1.9,2,2.2,2.4,2.4,2.7,3,3.3,3.6,3.8,4.3,4.9,5.8,6.4,6.4,7,7,7.8,8.9,9.5,10.5,11.1,11.9,12.6,13.2,13.6,14.8,15.8,17,18.2,18.9,21
49,  Information,7.7,8.4,9.1,9.7,10.5,11.4,12.5,12.8,14,14.8,15.9,16.6,18.3,19.1,20.5,21.7,23.4,25.2,27.4,30.2,32.3,35.2,38.3,41.2,44.5,49.8,54.4,58.8,65.2,74.5,83.9,96.1,107.4,118.7,137.2,149.9,169.5,180.3,198.9,210.9,222.5,233.1,254,269.3,281,299.3,321.4,340.9,356.3,386.8,394.1
50,"    Publishing industries, except internet (includes software)",,,,,,,,,,,,,,,,,5.3,5.8,6.2,6.9,7.2,7.8,8.5,8.8,9.3,10,11,11.5,12.7,14.1,16.8,19,21.9,22.6,25.2,27.4,31.1,34.4,38.8,41.9,45.4,48.2,53,54.8,57.1,61,65.3,72,73.9,87.1,97.2
51,    Motion picture and sound recording industries,,,,,,,,,,,,,,,,,3,3.1,3.6,4,4.2,4.9,4.8,4.7,4.9,5.5,5.7,6,6.5,8.5,9.7,11.7,13.3,14.1,16.5,17.4,19,21.3,23,25.4,27.6,27.9,33.6,33.6,35.2,35.7,38.1,37.3,39.4,41.5,40.3
52,    Broadcasting and telecommunications,,,,,,,,,,,,,,,,,14.2,15.2,16.5,18.1,19.5,20.9,23.3,25.7,28.2,31.9,35,38.3,42.8,48.2,53.2,60.4,66.5,75.3,87.7,96.4,109.3,113.4,124.6,130.2,135.4,141.5,150.5,162.3,169.6,181.6,195.7,207.1,216.4,229.2,226.3
53,"    Data processing, internet publishing, and other information services",,,,,,,,,,,,,,,,,1,1.1,1.2,1.3,1.4,1.6,1.8,1.9,2.1,2.4,2.7,3,3.3,3.7,4.2,5,5.8,6.7,7.8,8.7,10.1,11.1,12.5,13.5,14.2,15.4,16.9,18.5,19.1,21,22.4,24.5,26.6,29,30.3
54,"  Finance, insurance, real estate, rental, and leasing",25.8,28.4,30.8,33.8,37.7,41.3,45.5,49.2,53.3,56.9,60.9,65.3,69.9,74.8,79.5,84.7,89.5,95.9,102.9,110.7,119.1,129.9,142.6,153.4,170.4,186.1,205,225.5,250.3,275.3,307.2,352.6,395.7,449.4,505.4,548.1,614.3,679.9,738.6,799.7,842.1,907,972.8,1037.9,1097.3,1181.2,1248.5,1314.2,1406.5,1493.2,1612.4
55,    Finance and insurance,6.1,6.9,7.7,8.4,9.4,10.5,11.7,12.6,13.7,14.8,15.8,17.1,18.4,19.7,20.9,21.5,22.3,24.4,26.7,29.4,32.8,36.8,41.5,44.6,49.2,53.8,57.4,65,74.3,81.2,95.7,113.7,125.1,137.9,155.1,168.9,194.6,213.9,229.8,257.9,276.8,295.7,317.3,340.7,375.7,411.3,433.4,447.6,485,524.1,577.2
56,"      Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,,,,,,10.9,11.9,12.9,14.3,16.1,18.1,21.9,24.7,25.5,27.2,30.4,36.4,40.6,44.6,50.6,60.2,68.4,73.5,81.4,85.3,99.4,106.2,115.5,136.6,146.2,146.1,154,165.5,183.5,195.5,202.4,204.6,208.6,218.1,233.1
57,"      Securities, commodity contracts, and investments",,,,,,,,,,,,,,,,,1.4,1.6,2,2.5,3.3,4.2,3.5,2.5,3.8,4.3,3.6,3.1,4.7,4.7,6.9,8.6,9.5,9.2,10.1,11.5,20.5,20.9,26.1,29.9,41.4,43.4,45.7,43.2,46.8,53.6,64.8,61,75.5,97.6,121.3
58,      Insurance carriers and related activities,,,,,,,,,,,,,,,,,9.7,10.7,11.6,12.3,13.1,14.3,15.7,17.1,19.6,21.9,23,25,28.4,31.4,37.5,43.9,46.1,53.6,60.1,68.7,70.6,82.2,81.7,84.1,81.8,99.4,110.9,124.4,137.5,153.2,155.8,172.3,189.7,197.5,215.6
59,"      Funds, trusts, and other financial vehicles",,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.6,0.5,0.6,0.9,1.1,1.6,3.5,3.4,4.2,4.6,6.5,7.2,7.4,6.8,6.7,7.6,7.8,9,10.4,9.8,11.2,10.9,7.2
60,    Real estate and rental and leasing,19.7,21.6,23.1,25.4,28.3,30.8,33.8,36.7,39.6,42.1,45.1,48.2,51.6,55.1,58.6,63.3,67.3,71.5,76.2,81.3,86.3,93.1,101.2,108.8,121.2,132.4,147.6,160.4,176,194.1,211.6,239,270.6,311.5,350.3,379.2,419.8,466,508.8,541.8,565.3,611.4,655.5,697.3,721.7,770,815.1,866.6,921.5,969.1,1035.2
61,      Real estate,18.3,20,21.5,23.6,26.3,28.6,31.4,34.1,36.8,39,41.8,44.7,47.7,51,54.2,58.5,62.2,66,70.3,74.9,79.5,85.6,93,100,111.4,121.5,135.3,147.1,161.4,177.6,193.4,217.8,246.1,283,318.4,345.2,382.2,423.5,462.1,491.9,513.2,551.7,591,627.1,653.1,697.2,736.7,782.2,832,870.5,929.2
62,        Housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,        Other real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,      Rental and leasing services and lessors of intangible assets,1.4,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3.1,3.3,3.5,3.8,4.1,4.4,4.8,5.1,5.5,5.9,6.4,6.9,7.4,8.2,8.8,9.8,10.8,12.2,13.3,14.6,16.5,18.1,21.1,24.5,28.5,31.9,34,37.6,42.5,46.7,49.9,52.1,59.6,64.5,70.2,68.6,72.8,78.4,84.4,89.5,98.7,106
65,  Professional and business services,8.2,9,9.3,10.4,12,12.9,14,14.5,16.1,17.5,19,19.5,21.7,22.7,24.2,26.4,28.1,30.8,33.7,37.8,40.7,44.2,48.7,52.3,56.7,63,71.7,79.2,87,98.4,115.1,132.9,153.7,174.9,199.3,215.5,245.1,284,320.7,356.2,388.6,429.7,477,523.5,531.6,575.8,608,643.5,690,756.6,840.6
66,"    Professional, scientific, and technical services",3.3,3.6,3.8,4.2,4.9,5.4,5.9,6.3,7,7.7,8.6,9,10.1,10.6,11.6,12.6,13.5,14.9,16.5,18.7,20.4,22.1,24.7,27.1,29.5,33,38,42,46.3,52,61.7,71.2,83.7,97,110.5,121.8,139.1,160.4,182.3,203.8,223.8,257.9,288.8,319.8,326.3,353.6,370.3,388.6,412.7,451.6,499.7
67,      Legal services,,,,,,,,,,,,,,,,,4,4.3,4.7,5.3,5.6,5.9,6.5,7.5,8.4,9.4,10.6,11.8,12.9,14.2,17.4,19.1,21.7,23.9,26.3,30.3,35.2,41.7,47,54.7,59.7,70.1,76.2,83.4,85.9,92.9,94.3,94.7,95.5,100.4,104
68,      Computer systems design and related services,,,,,,,,,,,,,,,,,0.9,1.1,1.2,1.4,1.5,1.7,1.9,2.1,2.2,2.5,2.9,3.2,3.5,4.1,5,6.1,7.5,8.8,10.3,11.7,14,16.1,18.4,20,21.7,24.5,27.8,31,33.3,37.1,41.1,45.8,51,60.4,75.5
69,"      Miscellaneous professional, scientific, and technical services",,,,,,,,,,,,,,,,,8.6,9.5,10.6,12.1,13.3,14.5,16.3,17.5,18.9,21.1,24.4,27,29.9,33.6,39.3,46,54.5,64.3,73.9,79.8,89.9,102.6,116.8,129.1,142.5,163.2,184.8,205.4,207.1,223.5,234.9,248.1,266.1,290.7,320.2
70,    Management of companies and enterprises,3.6,4,4,4.4,5.1,5.4,5.7,5.7,6.3,6.6,6.9,6.8,7.6,7.8,8,8.7,9.1,9.8,10.6,11.6,12.2,13.4,14.2,14.7,15.7,17.1,18.9,20.6,22.7,25.6,28.9,32.9,36.1,39.8,45.4,47.3,53.5,61.5,68.3,74.4,77.2,73.8,78.3,81,82,85.6,93.1,97.1,103.8,112.5,125.5
71,    Administrative and waste management services,1.3,1.4,1.5,1.7,2,2.2,2.4,2.6,2.8,3.1,3.4,3.6,4,4.3,4.7,5.1,5.5,6.1,6.7,7.5,8,8.8,9.8,10.6,11.4,12.9,14.8,16.6,18,20.8,24.5,28.8,33.9,38.1,43.4,46.3,52.5,62.1,70.1,78,87.6,98,109.9,122.6,123.3,136.7,144.6,157.8,173.5,192.5,215.4
72,      Administrative and support services,,,,,,,,,,,,,,,,,4.3,4.7,5.2,5.9,6.4,6.9,7.8,8.5,9.1,10.2,11.8,13.4,14.5,16.8,20.1,23.7,28.5,32.6,37.6,40.2,45.5,54.5,61.3,68,76.5,85.5,96,107.6,108.2,120,126.6,138.2,153.2,171.5,193.5
