Line,level,category,Note,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
20,2,    Value added,,20.5,19.6,22.4,23.4,22.9,23.6,26.3,27.3,29.4,34.3,52.2,50.1,51.4,50.1,51.2,59.5,70.2,62.2,75.7,71.7,57.3,77,77,74.1,79.3,78.7,91.7,96.1,88,98.6,90.5,105.3,90.7,113.6,108.6
21,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,17.9,18.9,21.4,21.1,21.5,23.2,23.8,24.8,25.4,26.6
22,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8,-7.9,-5.3,-3.3,-2.4,-3,-6.8,-1.8,-1.1,-1.1,-1.1
23,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,68.7,78,78,69.3,80.1,74.1,83.4,66.9,89.4,83.1
24,2,    Intermediate inputs,,22.9,22.7,24.2,26.7,27.7,28.7,30.9,32.2,35,40.5,52.6,56.5,56.8,63,68.4,80.9,95.3,100.6,103.1,99.5,99,104.9,95.5,91.6,95.8,104.6,110.3,115.1,117.5,118.5,128.2,132.4,142,142,149.2
25,2,      Energy inputs,,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.6,1.8,1.9,2.5,4.1,4.4,4.9,5.7,6.2,9,11.1,12.5,11.6,9.8,9.3,7.5,5.2,4,4.4,5.3,6.6,6.7,6.7,6.8,6.3,6.3,6,6.9
26,2,      Materials inputs,,15.7,15.3,16.2,18.1,18.8,18.7,20.4,21.1,22.5,26.6,35.6,37.3,35.9,40.5,43.2,51,58.5,63.1,61.8,57.1,56.8,59.3,54,51.6,55,60.9,64.9,68.2,71.4,73.5,79.6,82.4,89.6,89.6,94.1
27,2,      Purchased-services inputs,,5.8,6.2,6.7,7.3,7.6,8.6,9.1,9.5,10.7,12,14.6,15.1,16.6,17.7,19.5,23.7,27.8,26.3,28.8,30.8,32.4,36.3,34,34.7,36.8,39.2,40.1,40.3,39.4,38.2,41.8,43.8,46.1,46.4,48.2
28,3,    Farms,,39.2,37.7,41.6,44.6,44.7,45.5,49.5,51.8,55.4,63.4,91.3,92,94.4,96.1,99.5,117.6,140.5,137.8,152.6,147,130,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4
29,3,      Value added,,18.5,17.3,19.9,20.8,20.1,20.5,22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.7,59.9,62,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1
30,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,10.6,11.4,13.4,13.2,13,14.2,14.4,15.5,16,17.1
31,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,-10.2,-8.4,-5.8,-3.9,-3.1,-3.7,-7.5,-2.6,-1.9,-2,-1.9
32,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,59.2,68.3,68.2,60.2,70.5,64.6,71.8,54.8,78.6,72.9
33,3,      Intermediate inputs,,20.7,20.3,21.6,23.8,24.6,25,26.7,28.1,30.1,33.7,44.5,47.7,48.8,53.1,56,66.9,80.4,86.4,87.7,86.6,85.1,90.7,84,79.3,85,92.3,98,102.1,104.9,102.7,110.9,113.9,123.5,123.2,131.2
34,3,        Energy inputs,,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.4,1.5,1.5,2,3.4,3.7,4.2,4.8,5.3,7.9,9.8,11,10.4,8.6,8.2,6.6,4.6,3.6,4,4.8,6,6.2,6.2,6.1,5.6,5.7,5.3,6.2
35,3,        Materials inputs,,14,13.5,14.3,16,16.5,16.1,17.5,18.4,19.4,22.4,30.5,31.9,30.9,34.2,35.2,42,48.9,53.9,51.9,48.8,47.8,50.2,46.5,43.6,47.7,52.6,56.7,59.7,63.3,63.4,68.5,70.5,77.7,77.6,82.6
36,3,        Purchased-services inputs,,5.3,5.6,6.1,6.6,6.9,7.6,7.9,8.3,9.2,9.8,12,12.5,14.1,14.7,15.9,19.6,23.6,22.7,24.8,27.4,28.6,32.4,30.9,31.1,33.8,35.7,36.4,36.4,35.4,33.1,36.2,37.8,40.1,40.3,42.5
37,3,"    Forestry, fishing, and related activities",,4.3,4.7,5.1,5.5,5.9,6.8,7.7,7.7,8.9,11.5,13.5,14.6,13.8,17,20.1,22.8,25.1,25,26.1,24.2,26.2,27.1,24.8,26.5,28,29.6,30.1,31.3,30.2,34.5,36.5,40.2,40.8,39.8,38.5
38,3,      Value added,,2,2.3,2.5,2.6,2.7,3.1,3.5,3.6,4,4.7,5.4,5.8,5.8,7.1,7.7,8.8,10.1,10.8,10.7,11.3,12.3,12.9,13.3,14.2,17.2,17.3,17.8,18.3,17.6,18.8,19.2,21.7,22.3,21,20.5
39,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,7.3,7.5,7.9,7.9,8.5,9,9.3,9.3,9.3,9.5
40,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8
41,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,9.5,9.7,9.8,9.1,9.6,9.5,11.6,12.1,10.8,10.2
42,3,      Intermediate inputs,,2.2,2.4,2.6,2.9,3.1,3.7,4.2,4.2,4.9,6.8,8,8.8,8,9.9,12.4,14,15,14.2,15.4,12.9,13.9,14.2,11.6,12.3,10.8,12.3,12.3,13,12.6,15.7,17.3,18.5,18.5,18.8,18
43,3,        Energy inputs,,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.6,0.7,0.9,0.9,1.2,1.3,1.6,1.2,1.2,1.1,0.9,0.6,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7
44,3,        Materials inputs,,1.7,1.8,1.9,2.2,2.3,2.6,2.9,2.7,3.1,4.2,5,5.5,4.9,6.3,7.9,9.1,9.6,9.2,9.9,8.3,9,9.1,7.5,8.1,7.4,8.3,8.2,8.5,8.2,10.1,11,11.9,11.9,12.1,11.5
45,3,        Purchased-services inputs,,0.5,0.6,0.6,0.7,0.7,1,1.2,1.2,1.5,2.2,2.5,2.6,2.4,2.9,3.6,4.1,4.2,3.6,3.9,3.4,3.7,3.9,3.2,3.6,3,3.6,3.7,4,4,5.1,5.6,6,6,6.1,5.8
46,2,  Mining,,19.6,20.6,21.7,23,23.7,25,27.1,29.9,29.9,31.1,36.6,57.1,67.6,74.3,84.5,97.4,126.2,173.8,226.2,215.5,193.2,207.4,193.3,130.1,134,135.5,141.7,160.1,152.4,145.2,145.1,143.3,142.2,167.9,176.9
47,2,    Value added,,10.6,11,11.2,11.8,12,12.9,13.5,15,15.2,15.9,19.1,29.7,34.2,38,44,50.4,59.3,91.2,122,119.1,103.1,107.5,106.7,70.5,73.1,74,78.6,88.3,79.4,73.5,74.4,76.1,76.5,90.1,95.1
48,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,29.9,30.1,32.3,32.5,31.5,31.2,31.2,30.7,32.4,35.1
49,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,9.1,9.6,10.9,10.8,10.7,10.4,10.8,10.6,11.6,13
50,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,35,38.8,45.1,36.1,31.3,32.8,34.1,35.3,46.1,47
51,2,    Intermediate inputs,,9,9.6,10.5,11.2,11.6,12.1,13.6,14.9,14.7,15.2,17.5,27.5,33.4,36.3,40.5,47,66.9,82.6,104.2,96.4,90,99.9,86.5,59.6,60.9,61.4,63.1,71.8,73.1,71.8,70.7,67.2,65.6,77.8,81.8
52,2,      Energy inputs,,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.4,2.4,3,3.3,3.4,3.9,6.2,7.5,9.5,8.2,8.3,9,7.6,5,6.1,6,6.3,7.3,7.4,7.1,6.5,6,5.7,5.9,6
53,2,      Materials inputs,,4.1,4.6,5.3,5.7,5.8,6.1,6.7,7.3,6.8,7,8.2,13.9,17.3,19.3,22.1,24.8,34.1,43.4,52,43.7,36.9,42.7,38.6,27,28.5,28.6,29.2,32.8,32,30.8,31.3,32.2,32,37,39.1
54,2,      Purchased-services inputs,,4.4,4.5,4.6,4.8,5.1,5.2,5.9,6.5,6.8,7,7.9,11.1,13.1,13.7,15.1,18.4,26.7,31.7,42.6,44.5,44.8,48.1,40.3,27.6,26.2,26.8,27.6,31.7,33.7,33.9,32.9,29,27.9,34.9,36.7
55,3,    Oil and gas extraction,,9.6,9.8,10.3,11.1,12.1,12.5,13.4,14.2,14.9,15,17.2,27.6,31.8,36,42.3,46.6,62.1,95.7,130,124.3,118.1,125.8,117.8,69.7,75.6,68.8,74.6,87.3,78.6,76.8,78.1,72.9,72.3,96.1,98.5
56,3,      Value added,,5.7,5.8,6,6.1,6.7,7.2,7.5,7.7,8,8.2,9.7,15.5,18.2,21.1,24.5,27.9,33.2,59.6,82.2,78.3,71,72.7,73.6,44.4,47.5,42.8,47.6,55.5,45.9,42.2,43.1,41.8,42.4,54.5,55.1
57,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,11.9,12.3,13.1,12.9,13.3,12.6,12.1,11.5,12.6,12.3
58,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,6.9,7.9,7.9,7.8,7.5,7.6,7.4,8.2,9.2
59,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,24.5,28.5,34.5,25.1,21.1,23,22.1,23.5,33.8,33.5
60,3,      Intermediate inputs,,3.9,4,4.3,5,5.4,5.4,5.9,6.5,6.9,6.8,7.5,12.1,13.6,14.9,17.8,18.7,28.9,36.1,47.9,46.1,47.2,53.1,44.2,25.3,28.1,25.9,27,31.8,32.7,34.6,35,31.1,29.9,41.6,43.4
61,3,        Energy inputs,,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5,0.6,0.7,0.9,0.9,1.6,2,2.9,2.7,2.8,3,2.2,1,1.4,1.2,1.3,1.5,1.7,1.8,1.6,1.3,1.2,1.6,1.4
62,3,        Materials inputs,,0.4,0.7,1,1.4,1.7,1.6,1.8,1.9,1.9,1.7,2,4.1,4.9,5.9,7.8,7.1,10.4,12.6,14.7,9.9,10.2,13.8,12.3,6.1,8.8,6.9,7.2,8.6,7.8,8.3,10.9,11.6,12.2,18.4,21.1
63,3,        Purchased-services inputs,,3.4,3.3,3.2,3.5,3.6,3.6,4,4.5,4.8,4.8,5.2,7.5,8.1,8.3,9.1,10.6,16.9,21.5,30.3,33.5,34.2,36.3,29.6,18.2,17.8,17.8,18.4,21.6,23.2,24.5,22.5,18.2,16.5,21.7,20.9
64,3,"    Mining, except oil and gas",,7.5,8.2,8.8,9.2,9,9.7,10.6,12.6,12.1,12.8,15.6,23.7,27.8,28.9,29.7,33.9,43.3,48.3,49.9,42.3,42.3,47.3,44.9,43,43.8,49.1,50.5,53.2,53.6,52.5,49.1,53.9,54.9,55.2,56.2
65,3,      Value added,,3.8,4,4,4.5,4,4.3,4.6,5.8,5.6,6.1,7.5,11.1,12.5,12.8,14.7,16.5,19.7,20.9,21.4,20.5,19.4,21.4,20,18.4,18.7,22.7,23,23.6,23.7,23.6,22.2,25.3,25.2,25.8,26.5
66,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,12,11.9,12.3,13,12.4,12.3,11.8,12.4,12.7,13.2,13.8
67,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.3,2.4,2.6,2.5,2.6,2.5,2.8,2.8,3,3
68,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,8.5,8.4,8.1,8.9,8.8,7.9,10.1,9.7,9.7,9.6
69,3,      Intermediate inputs,,3.8,4.2,4.8,4.7,4.9,5.4,6,6.9,6.6,6.7,8.2,12.5,15.3,16.2,15,17.5,23.6,27.4,28.5,21.8,22.8,25.9,24.9,24.6,25,26.4,27.5,29.6,29.9,28.9,26.9,28.6,29.7,29.4,29.7
70,3,        Energy inputs,,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.9,0.9,0.9,1.1,1.9,2.3,2.5,2.3,2.7,4.1,4.7,5.2,4,4.4,4.8,4.4,3.6,4.3,4.3,4.6,5.1,5.1,4.8,4.3,4.3,4.3,4.1,4.3
71,3,        Materials inputs,,2.7,2.9,3.3,3.2,3.2,3.5,3.9,4.4,4.1,4.1,5,8,9.7,10.3,9.7,11,14.5,17.5,17.6,13,12.7,14.6,14.1,14.2,14.1,15.4,16.3,18,18.6,18.5,16.4,17.3,17.2,15.9,14.8
72,3,        Purchased-services inputs,,0.7,0.8,0.9,1,1.1,1.2,1.4,1.6,1.6,1.6,2,2.7,3.3,3.4,3,3.8,5.1,5.2,5.6,4.8,5.7,6.5,6.4,6.8,6.6,6.7,6.6,6.5,6.3,5.6,6.1,7.1,8.3,9.5,10.6
73,3,    Support activities for mining,,2.5,2.6,2.6,2.7,2.6,2.8,3,3,2.9,3.3,3.8,5.9,8,9.4,12.5,16.9,20.8,29.9,46.3,48.8,32.8,34.3,30.6,17.4,14.6,17.5,16.6,19.6,20.2,15.9,17.8,16.4,15,16.5,22.1
74,3,      Value added,,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.9,3.1,3.6,4.1,4.8,6,6.4,10.7,18.4,20.3,12.8,13.4,13.2,7.6,6.8,8.5,7.9,9.1,9.7,7.6,9,8.9,9,9.8,13.5
75,3,        Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,6.2,5.6,6.3,7.2,5.9,6.7,6.6,6.5,6.6,9
76,3,        Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.7
77,3,        Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2,2,2.5,2.1,1.4,1.9,1.9,2,2.7,3.8
78,3,      Intermediate inputs,,1.3,1.5,1.5,1.5,1.3,1.4,1.6,1.5,1.3,1.7,1.8,2.8,4.4,5.3,7.7,10.8,14.4,19.2,27.9,28.5,20,20.8,17.5,9.7,7.7,9.1,8.7,10.5,10.5,8.3,8.8,7.5,6.1,6.7,8.6
79,3,        Energy inputs,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.5,0.8,1.4,1.5,1.1,1.2,1,0.4,0.4,0.5,0.5,0.7,0.7,0.5,0.5,0.4,0.3,0.3,0.3
80,3,        Materials inputs,,0.9,1,1,1,0.9,0.9,1,1,0.8,1.1,1.2,1.8,2.7,3.2,4.6,6.6,9.2,13.4,19.8,20.8,14,14.3,12.2,6.7,5.6,6.3,5.6,6.2,5.6,3.9,4,3.3,2.6,2.7,3.1
81,3,        Purchased-services inputs,,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.9,1.7,2,3,4,4.7,5,6.7,6.2,4.9,5.3,4.3,2.6,1.7,2.3,2.6,3.6,4.2,3.8,4.3,3.7,3.2,3.8,5.2
82,2,  Utilities,,22.4,23.1,24.3,25.8,27.2,28.8,30.5,33,35.3,40.2,43.3,52.6,63.3,74,85.9,98.4,115,127.2,148.1,160.8,178.9,182,177.2,160.7,183.1,191.6,204,208.3,219.3,226.9,239.1,242.1,244,255.5,262
83,2,    Value added,,14,14.9,15.6,16.7,17.5,19,20.4,21.7,24.6,27,28.9,30.2,38.4,42.9,47.5,52,53.7,60.9,72,83.2,94.6,105.9,113.6,117.9,125.8,125.3,138.5,145.6,153.8,160.1,164.7,172.4,176,175,171.5
84,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,31.4,32.9,34.9,37.1,39.5,40.1,40.3,39.8,40.3,42.1
85,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,19.3,20.8,22.4,24.3,25.9,27,28.9,29.3,31.2,31.8
86,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,74.7,84.7,88.4,92.4,94.7,97.5,103.1,106.9,103.5,97.6
87,2,    Intermediate inputs,,8.3,8.2,8.7,9.1,9.7,9.7,10.1,11.4,10.7,13.2,14.4,22.4,24.9,31.1,38.4,46.4,61.3,66.2,76.1,77.6,84.3,76.2,63.5,42.9,57.3,66.3,65.5,62.7,65.5,66.9,74.5,69.7,68,80.6,90.5
88,2,      Energy inputs,,4,4.1,4.5,4.7,5,5.2,5.6,6.8,6.8,8.5,9.5,16.4,18.7,23.3,29.3,33.5,45.2,50.4,58.8,56.6,59.3,54.5,45.1,29.3,37.8,41.8,43.1,43.3,42.8,44.8,49.7,46.4,43.8,51.4,60.4
89,2,      Materials inputs,,2.3,2.2,2.4,2.5,2.7,2.6,2.6,2.7,2.2,2.8,2.8,3.4,3.2,4,4.5,5.8,6.8,6.8,6.6,7.5,8.2,6.8,6.1,4.4,6.7,8.8,8.3,7.3,8.7,8.8,8.4,6.2,4.8,3.7,0.6
90,2,      Purchased-services inputs,,2,1.9,1.9,1.9,2,1.9,1.9,1.9,1.6,1.9,2.2,2.6,3,3.8,4.6,7.1,9.3,9,10.7,13.5,16.8,14.8,12.3,9.1,12.8,15.7,14.2,12.1,13.9,13.2,16.4,17.1,19.3,25.5,29.5
91,2,  Construction,,66.8,72.6,79.1,83.2,85.4,96.3,105.4,108.5,128.7,148.6,163.2,163.8,160.8,181.4,210.7,252.3,287.1,288.4,305.8,295.8,332.9,392.5,432,465.6,493.9,509.1,523.9,530.3,490.9,515.1,545.3,587.7,613.7,666.8,709.1
92,2,    Value added,,27.6,30.3,33.2,36.6,38.2,41.8,46.6,49.4,54.4,60,68,72.8,73.6,84.2,92.9,109.9,125.1,131.7,133.2,131,139.2,160.3,177.3,197.5,211,227.8,241,245.9,230,235,251.4,277.7,292.9,316.3,339.6
93,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,145.6,158.8,167.4,173.6,162.8,164.2,169.8,183.9,192.1,206.4,228.6
94,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.2,2.4,2.4,2.5,2.7,2.9,3.3,3.5,3.8,4.2
95,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,66.8,71.2,69.8,64.6,68.1,78.7,90.5,97.3,106.1,106.7
96,2,    Intermediate inputs,,39.1,42.3,45.9,46.6,47.2,54.5,58.7,59.1,74.3,88.5,95.2,90.9,87.1,97.2,117.8,142.5,162,156.7,172.6,164.8,193.7,232.2,254.7,268,282.8,281.3,283,284.4,261,280.1,294,310,320.8,350.5,369.5
97,2,      Energy inputs,,0.9,0.8,0.9,0.8,0.8,0.9,0.9,1,1.3,1.4,1.6,2.3,2.4,2.8,3.6,4.1,5.7,6.1,7.3,6.2,6.8,7.7,7.9,5.8,6.9,6,5.9,6.5,5.1,4.7,6.1,7.4,8.8,11.2,14.4
98,2,      Materials inputs,,32.4,34.7,37.6,37.9,37.8,43.2,45.8,45.1,55.3,65.9,70.9,69.7,66.1,75.9,93.5,109.8,121.2,117.9,124,114.2,128.4,150.7,165.9,172.2,184.4,186,186.1,187.5,173.9,189.4,206.3,224.5,238.9,263.3,285
99,2,      Purchased-services inputs,,5.9,6.7,7.4,7.9,8.5,10.4,12,13,17.8,21.3,22.7,19,18.6,18.6,20.6,28.6,35.1,32.6,41.3,44.3,58.4,73.8,80.9,90,91.6,89.4,90.9,90.4,82,86,81.6,78.1,73.1,76,70
100,2,  Manufacturing,,423.9,451.7,496.3,542.4,558.4,603.1,642.3,634.3,669.3,748,864.1,1004.4,1025.4,1164.2,1325.3,1482.6,1684.3,1810,1970.7,1910.8,2001.7,2200.1,2228.1,2207.1,2412.6,2628.3,2774.4,2836.5,2796,2922.3,3052.6,3282.8,3541.2,3667.9,3898
101,2,    Value added,,160.9,173,191.2,212.2,217.5,236.8,248.7,245.4,258.9,284.6,314.6,331.3,351.5,401.8,455.7,508.7,566.9,584.5,650.2,640.9,696.9,777,804.1,830.8,878.8,960.4,1015.8,1035.4,1043,1085.5,1124.3,1193.4,1259.6,1301.5,1382.9
102,2,      Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,560.8,600.4,623.8,636.6,641.8,671.7,687.4,715.8,739.2,758.1,789
103,2,      Taxes on production and imports less subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,25.8,27.2,29.2,34.1,36.1,36.5,38.2,39,39.8,41.1
104,2,      Gross operating surplus,,,,,,,,,,,,,,,,,,,,,,,,,,293.4,334.2,364.8,369.6,367,377.7,400.5,439.5,481.4,503.5,552.8
105,2,    Intermediate inputs,,262.9,278.7,305,330.3,340.9,366.4,393.5,388.9,410.4,463.4,549.5,673.2,673.8,762.4,869.6,973.9,1117.3,1225.5,1320.5,1269.9,1304.9,1423.2,1424,1376.3,1533.8,1667.8,1758.7,1801.1,1753,1836.8,1928.2,2089.4,2281.6,2366.5,2515.1
106,2,      Energy inputs,,6.2,6.5,6.9,7.5,8,9.1,10.1,10.8,12.1,14.1,16.8,23.3,25.8,29.1,33.2,38.8,50.5,54.3,63.9,63.4,67.3,68.8,60.9,50.8,58.2,59,61.3,61.9,58.9,57.9,56.7,56.7,58,58,59.7
107,2,      Materials inputs,,227.8,239.9,262.7,282.3,287,306.6,328.3,322.5,339.5,384.5,455.3,562.3,548.4,632.1,723.5,801.4,904.6,1017,1081.4,1020.8,1029.5,1120.1,1125.9,1075.2,1215.8,1321.5,1385.7,1412.4,1366.1,1430.2,1521.2,1670.9,1849.5,1922.1,2031.8
