Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: November 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
11,  Construction,32.27,35.607,36.623,41.738,47.021,47.922,50.122,51.912,55.849,58.149,60.071,59.626,66.025,68.446,69.897,74.629,78.87,84.244,91.201,94.705,93.633,97.242,97.254,92.597,92.794,93.931,97.322,92.127,85.211,94.72,96.886,100.272,100.475,95.189,89.932,84.41,90.253,99.704,106.771,110.023,113.332,117.171,118.117,116.214,107.546,109.001,111.843,117.242,117.886,123.196,124.354
12,  Manufacturing,12.928,13.954,13.532,15.07,16.205,17.075,18.544,17.454,19.332,19.109,19.17,17.975,19.547,19.791,19.929,22.015,23.29,25.092,27.46,29.813,30.139,32.108,33.113,32.13,33.367,36.568,39.551,37.084,34.501,37.985,40.537,42.848,43.592,40.53,41.431,39.304,43.348,47.035,48.439,49.778,52.882,56.222,56.442,56.127,55.453,57.618,59.574,63.103,65.708,68.436,73.447
13,    Durable goods,9.198,9.715,9.139,10.48,11.742,12.13,13.239,12.347,13.483,12.957,13.171,11.833,12.898,12.963,12.898,14.545,15.492,16.73,18.706,20.521,20.739,21.906,22.475,21.271,22.152,24.592,27.359,26.015,23.844,25.726,27.666,29.383,29.924,28.127,28.76,25.69,27.66,31.572,32.39,33.355,35.455,38.473,38.876,38.325,37.239,38.356,39.558,42.286,45.874,49.659,54.511
14,      Wood products,38.042,37.135,38.127,35.637,36.943,38.282,38.01,37.355,41.436,41.772,43.28,46.031,49.97,50.57,53.228,57.021,61.668,67.701,74.231,70.187,76.31,72.218,68.479,87.784,79.6,80.408,75.437,77.901,82.19,89.089,88.117,85.226,90.12,85.054,83.618,77.854,92.805,103.481,108.249,122.827,132.585,134.452,129.945,127.1,115.022,103.46,88.081,93.084,102.306,100.192,96.597
15,      Nonmetallic mineral products,39.805,43.078,39.858,47.906,52.535,49.296,52.693,51.519,59.232,57.79,56.039,54.878,62.456,60.676,60.677,64.616,69.934,75.771,78.655,80.685,77.479,79.975,85.743,82.13,83.657,93.244,98.997,94.458,85.072,89.902,92.506,95.255,94.234,84.07,77.227,63.132,76.532,84.342,87.717,93.786,89.709,95.939,98.469,94.517,83.956,95.241,93.996,101.127,102.825,101.027,114.129
16,      Primary metals,107.796,102.784,94.909,112.228,132.795,115.842,132.323,105.891,122.011,114.686,119.542,98.026,105.415,105.097,100.986,110.038,117.182,130.474,139.969,150.893,143.409,139.995,138.2,122.206,124.806,136.506,152.477,141.098,116.265,113.498,110.818,122.694,116.952,107.966,113.346,82.211,74.056,82.898,74.296,80.758,76.594,76.857,76.726,76.439,76.354,81.266,84.264,82.923,74.938,78.385,80.263
17,      Fabricated metal products,30.14,30.997,27.612,33.059,36.382,38.874,42.847,40.37,42.463,42.829,42.632,38.087,42.376,42.146,42.08,46.234,47.664,51.149,57.453,63.796,67.109,70.329,72.674,66.449,64.297,71.186,80.802,74.417,65.824,72.444,76.146,79.122,84.177,81.401,81.411,69.483,72.431,79.192,81.308,81.412,84.993,89.409,88.572,87.18,81.722,83.707,86.614,96.47,101.223,104.354,106.918
18,      Machinery,18.265,19.154,16.709,18.331,23.44,25.703,25.728,23.361,23.705,25.492,24.135,20.605,23.844,23.708,23.627,26.579,27.367,31.207,35.027,40.474,42.308,44.043,47.605,55.074,61.534,81.722,92.211,90.526,80.418,84.285,91.082,96.37,98.588,92.22,92.266,76.574,69.873,75.745,74.377,68.054,73.618,85.179,88.552,85.231,75.637,75.095,74.24,77.155,81.632,78.762,80.24
19,      Computer and electronic products,0.089,0.1,0.099,0.098,0.095,0.099,0.101,0.11,0.103,0.1,0.107,0.119,0.109,0.111,0.114,0.129,0.134,0.144,0.166,0.186,0.197,0.211,0.231,0.231,0.242,0.274,0.323,0.349,0.369,0.423,0.507,0.598,0.709,0.861,1.013,1.028,1.274,1.565,1.807,1.944,2.292,2.616,2.796,3.061,3.238,3.623,4.024,4.896,6.709,8.957,11.92
20,"      Electrical equipment, appliances, and components",46.376,56.385,55.676,44.77,44.872,42.078,40.218,43.836,41.669,41.603,41.923,42.349,37.429,35.896,36.955,41.217,43.081,46.018,53.719,61.221,62.715,65.067,69.221,65.008,65.833,73.457,83.743,76.144,70.221,76.378,85.439,91.158,92.442,87.576,90.171,76.139,82.782,91.12,92.095,94.055,97.494,99.914,103.529,101.613,97.097,99.115,102.033,108.134,105.518,102.783,107.768
21,"      Motor vehicles, bodies and trailers, and parts",14.888,15.597,15.581,21.854,22.359,21.054,25.99,23.187,31.303,24.463,25.036,18.336,24.343,26.971,24.808,31.091,35.423,37.022,44.134,44.647,41.288,49.192,49.356,39.227,47.569,47.259,54.461,45.484,42.015,52.545,60.416,61.225,56.002,38.645,40.032,33.387,42.501,53.441,53.836,53.686,53.613,60.015,57.828,47.852,44.457,50.537,57.27,65.406,67.808,67.316,70.464
22,      Other transportation equipment,19.003,22.256,21.618,22.783,33.409,51.079,60.845,58.223,55.711,56.797,61.79,59.312,59.236,56.069,59.938,67.421,73.648,75.91,79.75,96.442,103.329,107.323,98.544,85.075,76.862,77.537,79.867,81.962,75.151,70.679,70.628,75.659,79.22,77.657,65.233,81.013,83.394,91.795,90.245,101.452,111.083,109.555,106.23,107.303,114.57,95.743,87.888,71.105,68.41,76.281,74.864
23,      Furniture and related products,38.597,43.979,42.085,49.882,48.763,52.072,51.772,50.269,57.838,57.601,55.104,51.036,58.281,57.244,56.15,61.07,64.024,69.637,78.18,82.508,80.402,84.65,87.808,81.947,84.719,96.787,102.752,94.914,85.029,97.877,105.627,114.769,110.188,113.31,111.926,100.535,116.746,130.644,131.214,134.136,141.632,142.725,144.611,133.697,124.235,136.202,144.74,142.939,144.225,151.043,162.258
24,      Miscellaneous manufacturing,7.482,8.488,7.903,9.441,10.834,11.623,12.275,11.768,13.083,13.47,13.825,13.467,15.167,15.258,15.423,16.991,17.415,18.6,20.256,21.984,22.188,23.769,25.549,24.283,24.856,27.293,28.713,27.173,28.132,29.464,31.824,31.888,30.746,26.003,30.636,29.876,30.177,33.498,36.115,35.903,38.407,48.787,48.279,51.413,51.045,52.349,52.031,52.142,54.175,61.015,67.028
25,    Nondurable goods,20.498,22.647,22.695,24.423,24.92,26.968,29.084,27.735,31.347,32.276,31.753,31.655,34.312,35.115,35.964,38.563,40.387,43.36,45.876,48.982,49.543,53.519,55.656,56.156,58.072,62.4,64.521,59.135,56.297,63.902,67.388,70.673,71.774,65.584,67.013,69.707,79.648,79.923,82.819,84.826,90.034,92.771,92.221,92.862,93.865,98.67,102.367,107.094,105.388,103.962,107.96
26,      Food and beverage and tobacco products,33.447,32.507,36.5,37.474,36.19,39.981,44.188,39.445,46.927,48.481,46.864,45.025,48.779,50.644,50.199,53.567,55.295,57.903,58.548,60.87,61.296,62.385,63.332,64.945,65.036,70.848,74.851,71.686,73.498,87.074,84.996,85.801,82.528,89.971,84.124,92.093,97.293,91.801,95.024,91.742,96.159,103.176,96.005,96.774,98.921,100.905,101.782,107.974,121.575,102.923,102.744
27,      Textile mills and textile product mills,33.05,35.863,33.369,31.808,32.952,38.89,39.137,37.648,41.061,42.232,42.368,45.363,48.793,48.424,51.119,54.369,55.423,59.698,67.363,75.359,76.424,78.008,82.722,86.97,89.048,90.451,85.845,75.938,90.779,95.448,107.623,116.006,123.182,118.326,112.828,107.163,127.13,127.746,130.139,137.864,146.342,152.014,156.466,156.977,158.707,176.615,182.754,187.994,179.905,177.461,179.635
28,      Apparel and leather and allied products,86.609,100.503,104.519,106.416,109.551,132.944,137.837,134.907,143.595,140.867,144.431,143.498,142.989,144.774,143.268,153.05,160.501,166.9,179.391,184.954,194.354,207.005,202.055,201.339,202.681,200.191,218.657,224.941,224.79,238.798,243.046,256.863,252.597,253.536,256.869,236.473,250.565,245.842,237.76,238.477,238.602,244.22,245.007,240.163,242.946,253.573,251.898,258.603,253.785,244.776,236.777
29,      Paper products,34.562,35.158,35.117,42.927,43.343,41.784,45.968,46.84,51.023,51.424,48.637,48.27,54.856,54.586,60.246,63.452,66.878,72.185,76.274,82.679,82.49,90.837,96.859,92.856,95.91,104.96,114.675,98.107,83.388,97.496,105.956,114.082,113.675,104.353,105.795,108.899,118.837,118.498,124.741,130.155,129.98,133.584,129.721,130.496,135.801,139.845,149.581,150.988,128.396,139.74,144.719
30,      Printing and related support activities,31.715,33.115,32.929,33.892,35.81,34.938,36.19,36.732,38.372,39.189,39.327,38.825,40.665,40.739,41.115,42.679,41.573,45.323,48.494,51.899,50.775,52.974,54.94,52.65,53.128,56.287,58.83,57.129,57.486,59.692,64.715,68.619,74.242,70.651,72.29,72,77.773,83.795,86.988,88.845,92.342,99.866,102.407,102.95,98.205,102.221,95.269,96.529,98.34,94.665,93.232
31,      Petroleum and coal products,2.179,8.543,3.633,4.623,4.58,4.286,4.874,4.705,5.047,5.277,4.134,5.013,3.825,4.564,4.095,4.673,5.702,8.057,8.275,8.75,9.377,11.972,11.962,14.658,15.41,18.42,10.08,13.756,10.189,14.047,14.634,15.257,22.92,14.11,16.611,22.907,43.419,49.301,55.3,65.198,72.536,80.42,80.195,66.239,64.468,72.541,89.882,84.829,76.807,88.568,111.824
32,      Chemical products,8.438,10.037,10.958,13.667,14.79,15.383,16.62,17.106,19.945,21.045,22.221,22.104,26.001,26.111,27.593,29.456,31.972,34.023,36.952,40.208,40.002,45.754,49.022,50.126,53.958,57.664,62.164,51.591,45.918,51.939,56.487,60.594,58.002,47.263,50.53,51.176,59.22,59.814,60.933,63.587,70.775,68.204,69.47,74.827,75.389,79.729,82.083,89.016,84.222,86.098,89.612
33,      Plastics and rubber products,10.421,10.088,9.589,10.211,11.841,12.824,13.817,12.431,13.411,14.074,14.519,13.969,16.669,17.24,18.72,21.555,21.975,24.632,26.985,29.825,30.725,35.539,39.026,35.544,39.285,44.516,49.655,41.416,36.035,37.493,43.389,45.045,44.877,41.829,46.072,43.921,50.034,52.929,57.087,58.585,62.659,63.853,68.719,68.421,70.659,75.446,81.08,86.467,83.835,90.388,96.217
34,  Wholesale trade,4.497,4.642,4.649,4.912,5.149,5.263,5.477,5.48,6.09,6.328,6.47,6.597,7.385,7.733,7.957,8.487,8.783,9.284,9.87,10.484,11.019,11.797,12.348,13.27,14.918,16.943,17.796,18.529,19.371,20.277,22.322,24.045,25.758,25.568,27.653,28.015,29.814,33.169,35.352,39.389,38.11,40.181,43.228,42.992,45.301,48.97,50.804,53.687,53.635,60.418,67.499
35,  Retail trade,13.424,13.035,13.767,15.344,15.532,15.928,16.794,16.81,18.492,18.772,19.242,19.092,20.431,20.735,20.625,22.108,22.686,23.922,25.378,26.785,26.983,28.155,28.027,28.56,29.811,31.684,33.079,31.756,33.203,35.489,36.741,38.439,38.606,36.174,36.986,36.473,39.523,42.838,44.812,46.715,46.847,51.151,53.134,53.704,53.556,55.977,59.196,63.231,66.037,71.274,76.759
36,    Motor vehicle and parts dealers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,    Food and beverage stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,    General merchandise stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,    Other retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,  Transportation and warehousing,21.413,21.328,19.752,22.544,24.961,24.882,25.095,23.817,25.473,26.743,26.479,24.66,25.185,25.163,25.148,26.021,28.104,29.729,31.185,33.635,33.829,35.053,34.569,35.113,35.259,37.384,40.868,42.604,40.62,44.895,45.277,47.66,49.091,46.15,44.349,41.22,46.118,49.185,51.009,52.566,54.785,56.539,58.592,60.847,63.179,67.605,70.009,75.408,77.037,80.678,84.687
41,    Air transportation,,,,,,,,,,,,,,,,,6.654,7.913,9.559,11.348,13.971,15.221,15.44,14.634,14.71,16.1,16.95,16.522,18.428,21.157,23.56,29.953,34.452,29.609,29.789,32.583,39.635,40.403,45.176,46.178,51.31,56.772,61.309,69.284,64.383,73.169,76.529,89.894,94.561,103.184,111.9
42,    Rail transportation,,,,,,,,,,,,,,,,,113.27,119.574,129.112,139.477,130.94,127.467,122.096,124.287,117.881,124.266,134.345,128.303,106.055,112.804,112.949,116.116,113.523,107.894,99.045,74.398,77.892,79.279,78.04,80.429,76.538,78.089,72.608,75.993,85.621,86.69,86.958,91.078,92.928,94.335,89
43,    Water transportation,,,,,,,,,,,,,,,,,18.699,19.241,18.187,17.74,17.056,18.957,21.793,25.615,26.195,28.382,35.772,26.481,22.115,27.491,37.038,41.333,31.774,35.573,43.249,40.402,28.021,28.414,24.137,24.002,25.884,27.091,30.489,36.143,37.313,39.82,41.388,44.057,41.868,44.076,46.442
44,    Truck transportation,,,,,,,,,,,,,,,,,25.184,26.357,25.923,27.879,27.927,28.296,26.795,27.744,28.499,29.245,32.697,36.351,35.38,40.941,39.522,40.295,41.728,39.848,37.101,36.143,43.011,48.648,50.741,53.276,54.477,55.804,58.636,58.733,62.463,67.75,71.209,78.047,79.616,84.829,89.009
45,    Transit and ground passenger transportation,,,,,,,,,,,,,,,,,56.908,56.182,58.189,59.926,62.452,63.833,61.29,58.192,55.664,57.674,55.984,61.148,62.373,62.035,64.557,66.339,74.103,81.308,69.688,62.198,61.882,60.666,57.702,54.087,51.246,49.592,52.659,55.906,52.654,51.319,54.871,58.934,60.933,62.846,71.806
46,    Pipeline transportation,,,,,,,,,,,,,,,,,20.313,21.653,21.963,23.886,24.858,28.617,31.619,33.676,34.289,34.824,40.276,42.98,41.306,38.754,29.182,21.151,23.296,22.631,24.774,23.911,24.635,23.305,25.593,21.816,34.54,34.335,37.502,39.689,42.326,43.413,41.17,40.171,45.102,40.88,39.599
47,    Other transportation and support activities,,,,,,,,,,,,,,,,,28.948,30.825,32.958,35.374,35.235,39.029,40.373,41.378,43.502,48.962,54.221,60.691,58.362,63.421,64.46,68.562,70.196,63.281,61.815,57.475,66.223,72.886,76.51,81.921,83.225,83.103,85.107,85.139,91.275,95.856,98.066,98.649,96.708,99.029,101.877
48,    Warehousing and storage,,,,,,,,,,,,,,,,,10.673,11.32,11.685,12.627,12.892,13.382,13.098,13.088,13.468,13.847,15.083,15.805,16.078,18.347,18.257,19.395,19.581,17.562,16.94,17.148,20.33,23.27,24.419,25.972,28.017,30.15,30.722,30.789,32.496,35.628,37.38,40.059,42.214,43.766,48.296
49,  Information,4.913,4.949,5.093,5.154,5.444,5.553,5.931,5.954,6.376,6.498,6.818,6.912,7.289,7.495,7.943,8.309,8.845,9.342,10.085,11.038,11.553,12.321,13.027,13.466,13.839,14.757,15.582,16.24,16.97,18.503,20.18,22.48,24.507,26.006,27.702,27.336,29.055,28.866,30.516,30.923,32.072,33.05,35.102,36.144,36.264,38.148,40.266,42.078,43.4,45.851,45.514
50,"    Publishing industries, except internet (includes software)",,,,,,,,,,,,,,,,,11.489,12.215,12.701,13.571,13.925,14.438,15.009,14.401,14.482,15.008,15.881,16.395,16.238,16.976,18.999,20.682,22.588,22.06,22.992,22.368,23.88,25.621,27.855,29.151,30.546,31.844,34.643,34.854,34.665,37.227,38.954,42.83,43.894,50.63,55.812
51,    Motion picture and sound recording industries,,,,,,,,,,,,,,,,,16.596,16.254,17.955,18.863,19.132,21.146,19.592,17.984,17.596,19.148,19.141,18.87,18.937,23.983,26.506,29.874,31.979,32.216,35.827,35.829,36.919,39.192,40.229,42.297,44.19,42.701,47.591,43.768,43.064,43.357,45.885,43.368,44.355,44.07,41.642
52,    Broadcasting and telecommunications,,,,,,,,,,,,,,,,,7.584,8.111,8.847,9.868,10.463,11.199,12.242,13.28,13.874,14.856,15.826,16.656,17.909,19.408,21.049,23.572,25.821,28.351,30.198,29.9,31.905,30.49,32.062,31.858,32.948,34.233,35.737,37.929,38.402,40.46,42.903,44.788,46.29,47.897,45.89
53,"    Data processing, internet publishing, and other information services",,,,,,,,,,,,,,,,,6.247,6.679,7.105,7.68,8.186,8.58,9.319,9.781,10.006,10.874,11.419,12.225,11.751,11.852,12.188,13.53,14.443,15.698,16.418,15.884,16.932,17.596,19.022,19.739,20.088,20.848,21.908,22.957,22.622,23.863,24.713,26.382,27.588,29.216,29.418
54,"  Finance, insurance, real estate, rental, and leasing",7.935,8.139,8.456,9.05,9.595,9.974,10.349,11.006,11.504,11.882,12.31,12.92,14.004,14.499,15.142,15.841,16.448,17.64,18.708,19.435,20.466,21.371,22.662,23.285,24.573,25.571,26.909,28.756,29.585,30.769,31.935,33.862,36.18,38.96,40.774,41.062,42.287,45.06,45.783,46.989,47.633,49.008,50.398,51.324,52.233,54.158,55.873,57.425,59.334,61.024,64.047
55,    Finance and insurance,6.127,6.539,7.057,7.436,7.898,8.366,8.81,9.205,9.64,10.02,10.373,10.963,12.275,11.977,12.241,12.042,11.923,13.027,13.77,13.72,14.925,15.228,16.172,16.382,16.74,16.802,16.885,18.644,19.092,20.141,22.456,23.945,26.484,29.805,33.137,34.028,34.02,37.193,36.787,39.674,41.801,42.603,43.761,44.949,47.142,48.733,50.472,51.309,53.284,55.642,59.35
56,"      Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,,,,,,12.879,13.848,14.784,14.938,16.477,16.642,18.313,19.424,19.622,19.503,19.652,22.905,21.56,23.113,25.149,27.139,32.376,38.888,44.734,44.414,41.26,45.604,44.222,48.799,50.815,49.278,51.085,53.258,54.373,53.406,54.903,53.995,52.193,51.76,51.755
57,"      Securities, commodity contracts, and investments",,,,,,,,,,,,,,,,,2.034,2.413,3.099,3.177,4.241,4.516,3.59,2.499,3.04,2.942,2.833,2.554,3.118,2.874,4.273,4.107,4.463,3.346,3.326,3.604,7.069,8.351,9.916,10.252,14.73,15.387,15.341,14.328,15.659,17.788,23.099,25.655,32.69,43.783,56.135
58,      Insurance carriers and related activities,,,,,,,,,,,,,,,,,18.895,20.7,21.092,20.696,21.16,21.675,23.588,23.973,24.373,25.142,25.625,27.389,30.726,31.879,34.952,37.415,37.656,41.078,42.95,45.323,43.208,46.15,43.517,46.675,44.951,49.944,50.348,51.506,55.891,60.261,57.7,60.315,62.916,63.047,67.497
59,"      Funds, trusts, and other financial vehicles",,,,,,,,,,,,,,,,,299.442,374.645,302.722,215.786,231.241,204.291,245.667,239.068,146.658,88.464,45.473,14.153,18.613,61.675,81.056,84.816,59.554,124.759,317.666,375.104,333.562,294.772,406.063,364.968,298.321,243.789,335.104,482.07,410.278,369.495,391.696,281.646,295.069,246.188,127.093
60,    Real estate and rental and leasing,9.092,9.212,9.451,10.168,10.774,11.129,11.489,12.292,12.84,13.233,13.713,14.357,15.384,16.268,17.121,18.298,19.305,20.575,21.845,23.035,23.966,25.251,26.761,27.657,29.574,31.229,33.47,35.307,36.394,37.626,37.853,40.033,42.085,44.423,45.264,45.191,47.17,49.672,51.09,51.246,50.988,52.701,54.226,54.993,55.125,57.246,58.938,60.923,62.782,64.048,66.627
61,      Real estate,9.773,9.904,10.151,10.925,11.578,11.941,12.305,13.164,13.731,14.12,14.625,15.309,16.383,17.303,18.186,19.39,20.365,21.358,22.607,23.777,24.635,25.953,27.395,28.211,30.103,31.723,34.058,35.955,37.216,38.436,38.568,40.684,42.561,44.743,45.498,45.269,47.451,49.806,51.133,51.124,50.818,52.167,53.579,54.145,54.661,56.844,58.396,60.281,62.162,63.025,65.488
62,        Housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,        Other real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,      Rental and leasing services and lessors of intangible assets,4.051,4.094,4.253,4.555,4.817,5.079,5.37,5.752,6.126,6.496,6.765,7.109,7.739,8.309,8.89,9.786,10.909,14.136,15.569,16.924,18.488,19.504,21.634,23.296,25.503,27.55,28.98,30.302,29.836,31.195,32.273,35.07,38.74,42.595,44.28,45.763,45.768,49.793,52.167,54.01,54.248,59.858,62.64,65.59,61.582,63.098,66.326,69.434,71.111,76.719,80.61
65,  Professional and business services,5.324,5.586,5.71,6.204,6.774,7.094,7.455,7.512,8.132,8.471,8.972,9.085,9.829,10.123,10.734,11.51,12.269,13.085,14.079,15.468,16.053,16.981,17.905,18.209,18.738,20.317,21.824,22.181,21.902,23.161,25.205,27.278,29.033,29.856,30.367,29.91,32.03,35.311,38.346,41.246,43.243,45.584,49.242,51.849,50.021,51.415,52.255,53.649,55.563,59.031,63.505
66,"    Professional, scientific, and technical services",4.175,4.353,4.495,4.827,5.247,5.488,5.775,5.983,6.429,6.821,7.315,7.49,8.128,8.349,9.028,9.62,10.114,10.849,11.701,12.999,13.854,14.564,15.488,16.094,16.664,18.004,19.189,19.695,19.76,20.656,22.931,24.94,27.034,28.297,28.993,28.45,29.929,32.416,35.25,37.904,39.312,43.432,46.674,49.316,48.174,50.258,51.066,52.044,53.367,56.816,60.38
67,      Legal services,,,,,,,,,,,,,,,,,44.723,46.467,48.244,51.733,52.725,53.478,54.714,58.199,61.084,64.599,65.731,67.61,69.747,72.016,81.798,83.904,87.556,83.743,80.232,78.555,77.324,82.199,86.18,92.74,92.388,104.748,106.873,108.034,104.987,107.463,104.307,101.362,99.139,100.106,98.644
68,      Computer systems design and related services,,,,,,,,,,,,,,,,,1.841,1.965,2.134,2.37,2.55,2.622,2.786,2.778,2.75,3.077,3.244,3.393,3.267,3.418,3.763,4.362,4.886,5.271,5.485,5.462,6.146,6.832,7.586,8.212,8.555,9.195,9.958,10.657,11.036,11.909,12.804,13.865,14.828,17.407,22.496
69,"      Miscellaneous professional, scientific, and technical services",,,,,,,,,,,,,,,,,8.656,9.427,10.336,11.664,12.659,13.54,14.626,15.126,15.65,17.001,18.517,18.945,18.871,19.829,21.818,24.132,26.45,28.546,29.905,29.308,31.315,34.033,37.435,40.2,42.377,46.499,51.015,54.781,53.14,55.572,56.978,58.522,60.588,64.447,67.251
